序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1,1,平安银行,平安银行股份有限公司,深圳市,罗湖区,1057.86亿,231.89亿,34980,1991-04-03,--,,银行,--,经有关监管机构批准的各项商业银行业务
2,2,万科A,万科企业股份有限公司,深圳市,盐田区,2428.97亿,372.08亿,133455,1991-01-29,--,,房地产开发,--,房地产开发和物业服务
3,4,国农科技,深圳中国农大科技股份有限公司,深圳市,南山区,1.39亿,589.22万,251,1991-01-14,--,,生物医药,--,移动互联网安全业务及移动互联网游戏运营相关服务。
4,5,世纪星源,深圳世纪星源股份有限公司,深圳市,罗湖区,5.31亿,2293.60万,680,1990-12-10,--,,环保工程、物业管理,--,绿色低碳城市社区建设相关的服务业务
5,6,深振业A,深圳市振业(集团)股份有限公司,深圳市,罗湖区,29.59亿,8.20亿,--,1992-04-27,--,,房地产开发,--,从事房地产开发与销售
6,7,全新好,深圳市全新好股份有限公司,深圳市,福田区,3964.40万,79.51万,84,1992-04-13,--,,物业经营,--,物业管理和房屋租赁业等
7,8,神州高铁,神州高铁技术股份有限公司,北京市,海淀区,23.31亿,8.90亿,2618,1992-05-07,--,,轨道交通设备,--,专业致力于为轨道交通安全运营提供监测、检测、维修、保养设备和服务及整体解决方案
8,9,中国宝安,中国宝安集团股份有限公司,深圳市,罗湖区,70.71亿,3.23亿,13239,1991-06-25,--,,综合,--,新能源、新材料及其它高新技术产业、生物医药业、房地产业以及其他行业
9,10,美丽生态,深圳美丽生态股份有限公司,深圳市,宝安区,7.58亿,-10.62亿,339,1995-10-27,--,,园林工程,--,从事苗木种植、园林绿化工程施工和养护为一体的综合性园林服务。
10,11,深物业A,深圳市物业发展(集团)股份有限公司,深圳市,罗湖区,29.05亿,6.23亿,7769,1992-03-30,--,,房地产开发,--,从事房地产开发经营，兼营物业管理、房屋租赁、出租车客运、餐饮服务等
11,12,南玻A,中国南玻集团股份有限公司,深圳市,南山区,108.79亿,8.29亿,10454,1992-02-28,--,,玻璃,--,研发、生产制造和销售优质浮法玻璃和工程玻璃、太阳能玻璃和硅材料、光伏电池和组件等可再生能源产品，超薄电子玻璃和显示器件等新材料和信息显示产品，提供光伏电站项目开发、建设、运维一站式服务等。
12,14,沙河股份,沙河实业股份有限公司,深圳市,南山区,5.13亿,1098.82万,154,1992-06-02,--,,房地产开发,--,房地产开发和销售
13,16,深康佳A,康佳集团股份有限公司,深圳市,南山区,312.28亿,50.87亿,19286,1992-03-27,--,,电视机,--,彩电业务、手机业务、白电业务、供应链贸易
14,17,*ST中华A,深圳中华自行车(集团)股份有限公司,深圳市,深圳市,1.37亿,157.92万,59,1992-03-31,--,,自行车,--,电动自行车、自行车及零配件的生产和销售以及物业管理。
15,18,神城A退,神州长城股份有限公司,深圳市,龙岗区,64.97亿,3.84亿,821,1992-06-16,--,,装修装饰,主营业务:建筑装饰工程设计与施工及建筑相关工程施工,建筑装饰工程设计与施工及建筑相关工程施工
16,19,深粮控股,深圳市深粮控股股份有限公司,深圳市,南山区,107.94亿,3.51亿,1189,1992-10-12,--,,软饮料,--,茶及天然植物精深加工为主的食品原料(配料)生产研发和销售业务;粮油储备粮油贸易粮油加工等粮油流通及粮油储备服务业
17,20,深华发A,深圳中恒华发股份有限公司,深圳市,福田区,8.58亿,97.44万,998,1992-04-28,--,,电子零部件,--,精密注塑件的加工、销售;液晶显示器的加工、销售;轻型包装材料的加工、销售以及物业租赁业务。
18,21,深科技,深圳长城开发科技股份有限公司,深圳市,福田区,142.10亿,5.74亿,29676,1994-02-02,--,,PC、服务器及硬件,--,计算机硬件、通讯设备等。
19,22,深赤湾A,招商局港口集团股份有限公司,深圳市,南山区,24.56亿,7.14亿,1719,1993-05-05,--,,港口,装卸业务、港口配套业务、代理及其他业务,集装箱和散杂货的港口装卸、仓储、运输及其它配套服务
20,23,深天地A,深圳市天地(集团)股份有限公司,深圳市,南山区,12.29亿,2868.88万,--,1993-04-29,--,,商品混凝土,--,混凝土的生产和销售、房地产的开发与销售
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
21,25,特力A,深圳市特力(集团)股份有限公司,深圳市,罗湖区,3.47亿,6578.16万,325,1993-06-21,--,,汽车销售,--,汽车销售、汽车检测维修及配件销售、物业租赁及服务
22,26,飞亚达,飞亚达精密科技股份有限公司,深圳市,南山区,33.46亿,1.43亿,4994,1993-06-03,--,,珠宝首饰,--,"主要从事钟表及其零配件的设计、开发、制造、销售和维修业务，包括""飞亚达""表的产品经营和世界名表的商业连锁销售"
23,27,深圳能源,深圳能源集团股份有限公司,深圳市,福田区,155.46亿,8.45亿,6935,1993-09-03,--,,火电,--,"各种常规能源和新能源的开发、生产、购销,以及城市固体废物处理、城市燃气供应和废水处理等"
24,28,国药一致,国药集团一致药业股份有限公司,深圳市,福田区,412.63亿,11.57亿,27247,1993-08-09,--,,医药商业,--,药品的研发、生产，中西成药、中药材、生物制品、生化药品、保健品、医疗器械的批发销售和连锁零售。
25,29,深深房A,深圳经济特区房地产(集团)股份有限公司,深圳市,罗湖区,13.46亿,1.85亿,--,1993-09-15,--,,房地产开发,--,商品住宅销售、物业租赁及管理服务、酒店客房服务，以及建筑安装装修服务。
26,30,富奥股份,富奥汽车零部件股份有限公司,长春市,绿园区,71.93亿,8.19亿,7445,1993-09-29,--,,汽车零部件,--,汽车零部件的生产与销售
27,31,大悦城,大悦城控股集团股份有限公司,深圳市,宝安区,140.42亿,17.35亿,9462,1993-10-08,--,,房地产开发,--,房地产开发、经营、销售、出租及管理住宅、商用物业、工业物业
28,32,深桑达A,深圳市桑达实业股份有限公司,深圳市,南山区,18.82亿,5525.24万,433,1993-10-28,--,,电子物流,--,电子制造、电子商贸、电子物流服务等在内的一体化现代电子信息服务。
29,33,新都退,深圳鹍鹏控股股份有限公司,--,广东,--,--,242,1994-01-03,--,,--,主营业务:酒店业务及其附属设施业务,酒店业务及其附属设施业务
30,34,神州数码,神州数码集团股份有限公司,深圳市,南山区,622.16亿,7.23亿,4070,1994-05-09,--,,贸易,--,"云管理服务及数字化方案提供商,IT领域分销和增值服务商"
31,35,中国天楹,中国天楹股份有限公司,南通市,海安县,16.12亿,2.25亿,44798,1994-04-08,--,,垃圾发电,--,以BOO、BOT方式投资、建设和运营城市生活垃圾焚烧发电项目，研发、生产、销售垃圾焚烧发电及环保成套设备
32,36,华联控股,华联控股股份有限公司,深圳市,福田区,39.72亿,13.72亿,793,1994-06-17,--,,房地产开发,--,房地产开发及自有物业租赁管理业务
33,37,深南电A,深圳南山热电股份有限公司,深圳市,南山区,20.46亿,37.71万,516,1994-07-01,--,,火电,--,生产经营供电供热、从事发电厂(站)的相关技术咨询和技术服务
34,38,深大通,深圳大通实业股份有限公司,深圳市,南山区,15.10亿,3.58亿,104,1994-08-08,--,,网络媒体,--,新媒体传媒运营、广告发布
35,39,中集集团,中国国际海运集装箱(集团)股份有限公司,深圳市,南山区,763.00亿,31.58亿,49715,1994-04-08,--,,金属制品,--,主要从事集装箱、能源、化工及液态食品装备、海洋工程装备、空港设备的制造及服务业务
36,40,东旭蓝天,东旭蓝天新能源股份有限公司,深圳市,罗湖区,81.31亿,5.40亿,842,1994-08-08,--,,太阳能,--,"光伏电站投资、建设、运营,房地产开发与销售、物业管理等"
37,42,中洲控股,深圳市中洲投资控股股份有限公司,深圳市,南山区,86.54亿,6.09亿,2639,1994-09-21,--,,房地产开发,--,房地产开发、物业租赁经营、酒店经营、建筑施工。
38,43,中航善达,招商局积余产业运营服务股份有限公司,深圳市,福田区,58.93亿,-3472.81万,19886,1994-09-28,--,,房地产开发,主营业务:物业资产管理业务,物业资产管理业务
39,45,深纺织A,深圳市纺织(集团)股份有限公司,深圳市,福田区,14.76亿,7366.17万,1338,1994-08-15,--,,显示器件,--,"以液晶显示用偏光片的研发、生产、营销为代表的高新技术产业,同时还有以地处深圳繁华商业区为主的物业经营管理业务及保留的高档纺织服装业务。"
40,46,泛海控股,泛海控股股份有限公司,北京市,东城区,168.76亿,30.93亿,10201,1994-09-12,--,,房地产开发,--,金融、房地产、战略投资等业务
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
41,48,京基智农,深圳市京基智农时代股份有限公司,深圳市,罗湖区,15.50亿,-1.39亿,746,1994-11-01,--,,饲料,--,交通运输、自来水供应，房地产开发、物业管理，肉猪、肉鸡养殖，饲料生产销售
42,49,德赛电池,深圳市德赛电池科技股份有限公司,深圳市,南山区,124.86亿,3.64亿,9744,1995-03-20,--,,电池,--,生产制造电源管理系统及各类锂电池
43,50,深天马A,天马微电子股份有限公司,深圳市,福田区,238.24亿,15.35亿,39842,1995-03-15,--,,显示器件,--,从事液晶显示器及相关材料、设备、产品的设计、制造、销售
44,55,方大集团,方大集团股份有限公司,深圳市,南山区,29.47亿,11.51亿,2395,1996-04-15,--,,其他建材,--,高端幕墙系统及材料产业、轨道交通屏蔽门设备产业、新能源产业、房地产等业务。
45,56,皇庭国际,深圳市皇庭国际企业股份有限公司,深圳市,福田区,8.08亿,1.52亿,618,1996-07-08,--,,物业租赁、物业管理,--,商业不动产运营管理业务、资产管理业务以及各配套服务业务
46,58,深赛格,深圳赛格股份有限公司,深圳市,福田区,20.30亿,3.08亿,2793,1996-12-26,--,,专业市场,--,电子专业市场及配套项目的开发及经营、物业租赁服务业务、IT产品渠道零售终端业务、电子商务和小额贷款增值业务。
47,59,华锦股份,北方华锦化学工业股份有限公司,盘锦市,双台子区,337.14亿,19.41亿,8649,1997-01-30,--,,石油加工,--,石油化工产品、化学肥料的生产与销售。
48,60,中金岭南,深圳市中金岭南有色金属股份有限公司,深圳市,福田区,190.16亿,10.94亿,9611,1997-01-23,--,,铅锌,--,有色金属矿产品、冶炼产品、深加工产品、综合利用产品及电池材料、铝型材、幕墙工程、出租车营运、房地产开发等
49,61,农产品,深圳市农产品集团股份有限公司,深圳市,罗湖区,24.46亿,6117.25万,4644,1997-01-10,--,,专业市场,--,农产品批发市场的开发、建设、经营和管理，大宗农产品电子交易和蔬菜种植等。
50,62,深圳华强,深圳华强实业股份有限公司,深圳市,福田区,85.46亿,4.64亿,1887,1997-01-30,--,,专业市场,--,面向电子信息产业链的现代高端服务业，为产业链上的各环节提供线上线下交易服务、产品服务、技术服务、交易信息服务和创新创业配套服务，打造面向电子信息产业的国内一流交易服务和创新创业服务双平台。
51,63,中兴通讯,中兴通讯股份有限公司,深圳市,南山区,1088.15亿,53.86亿,70066,1997-11-18,--,,通信传输设备,--,设计、开发、生产、分销及安装各种先进的ICT领域系统、设备和终端
52,65,北方国际,北方国际合作股份有限公司,北京市,丰台区,97.30亿,5.43亿,1710,1998-06-05,--,,专业工程,--,国际工程承包、国内建筑工程、重型装备出口贸易、物流服务、物流自动化设备系统集成服务、太阳能
53,66,中国长城,中国长城科技集团股份有限公司,深圳市,南山区,95.07亿,6.96亿,13571,1997-06-26,--,,PC、服务器及硬件,--,计算机及相关设备制造，高新电子业务，涉及军事通信、卫星与定位导航、海洋信息安全产业及军用自主可控计算机及网络等领域。
54,68,华控赛格,深圳华控赛格股份有限公司,深圳市,宝安区,4.13亿,3264.41万,554,1997-06-11,--,,环保材料,--,节能环保和新材料
55,69,华侨城A,深圳华侨城股份有限公司,深圳市,南山区,423.41亿,93.18亿,25003,1997-09-10,--,,景区,--,主题公园、酒店服务、房地产开发、纸包装等
56,70,特发信息,深圳市特发信息股份有限公司,深圳市,南山区,54.73亿,2.98亿,3615,2000-05-11,--,,通信传输设备,--,光纤、光缆、通信设备的生产和销售
57,78,海王生物,深圳市海王生物工程股份有限公司,深圳市,南山区,249.40亿,8.21亿,11332,1998-12-18,--,,医药商业,--,生物制品、生化制品、海洋药物、海洋生物制品、中成药的生产销售
58,88,盐田港,深圳市盐田港股份有限公司,深圳市,盐田区,3.44亿,4.33亿,823,1997-07-28,--,,港口,--,"港口投资开发和经营；货物装卸与运输业务,码头建设工程管理,收费高速公路运营管理,出口货物监管仓和其他港口配套仓储物流经营。"
59,89,深圳机场,深圳市机场股份有限公司,深圳市,宝安区,33.20亿,6.75亿,5602,1998-04-20,--,,机场,--,航空客货运输地面服务、郊区公路客货运输、航空客货物流代理业务等劳务。
60,90,天健集团,深圳市天健(集团)股份有限公司,深圳市,福田区,67.50亿,5.98亿,9530,1999-07-21,--,,专业工程,--,提供商品住宅的开发及销售、工程施工劳务、物业租赁服务、物业管理服务、商业运营及服务。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
61,96,广聚能源,深圳市广聚能源股份有限公司,深圳市,南山区,12.43亿,1.55亿,400,2000-07-24,--,,石油天然气贸易,--,从事油品、液化石油气销售、液体化工品仓储及电力投资
62,99,中信海直,中信海洋直升机股份有限公司,深圳市,罗湖区,12.70亿,9557.90万,1035,2000-07-31,--,,航空,--,通用航空飞行服务和维修服务
63,100,TCL科技,TCL科技集团股份有限公司,惠州市,惠城区,1117.27亿,35.45亿,35379,2004-01-30,--,,电视机,--,以半导体显示技术及材料业务为主，产业金融和投资业务为辅
64,150,宜华健康,宜华健康医疗股份有限公司,汕头市,澄海区,21.16亿,1.84亿,11760,2000-08-07,--,,医疗服务,--,健康医疗服务
65,151,中成股份,中成进出口股份有限公司,北京市,丰台区,22.29亿,8843.59万,352,2000-09-06,--,,贸易,--,成套设备与技术进出口、一般贸易和境外经营。
66,153,丰原药业,安徽丰原药业股份有限公司,芜湖市,无为县,25.78亿,6534.81万,4668,2000-09-20,--,,化学制剂,--,生物药、中药、化学合成药及其制剂等方面的研究、开发、生产和销售。
67,155,川能动力,四川省新能源动力股份有限公司,成都市,青白江区,65.09亿,3.82亿,229,2000-09-26,--,,氮肥,--,"风力发电和光伏发电,以及新能源综合服务业务。"
68,156,华数传媒,华数传媒控股股份有限公司,杭州市,滨江区,32.09亿,6.41亿,4998,2000-09-06,--,,有线电视,--,杭州地区有线电视网络运营和面向全国的互动电视、手机电视、互联网电视、互联网视频、广告等传媒信息服务业
69,157,中联重科,中联重科股份有限公司,长沙市,岳麓区,232.73亿,12.48亿,19016,2000-10-12,--,,工程机械,--,混凝土机械、起重机械、路面机械、环卫机械等产品及配套件的开发、生产、销售和租赁。
70,158,常山北明,石家庄常山北明科技股份有限公司,石家庄市,长安区,112.54亿,3.55亿,5084,2000-07-24,--,,棉纺,--,软件及信息技术服务和纺织两大板块
71,159,国际实业,新疆国际实业股份有限公司,乌鲁木齐市,新市区,3.56亿,-7113.14万,295,2000-09-26,--,,石油天然气贸易,--,油品批发、零售、仓储、运输；能源贸易；房地产开发与销售。
72,166,申万宏源,申万宏源集团股份有限公司,乌鲁木齐市,天山区,133.68亿,47.26亿,13022,2015-01-26,--,,证券,--,金融投资、股权投资等
73,301,东方盛虹,江苏东方盛虹股份有限公司,苏州市,吴江区,162.99亿,14.29亿,15931,2000-05-29,--,,火电,--,民用涤纶长丝的研发、生产和销售以及PTA、热电的生产、销售等。
74,333,美的集团,美的集团股份有限公司,佛山市,顺德区,2419.19亿,186.11亿,134897,2013-09-18,--,,空调、小家电,--,以家电产业为主，涉足电机、物流等领域，旗下分为四大业务板块，分别为大家电、小家电、电机及物流
75,338,潍柴动力,潍柴动力股份有限公司,潍坊市,奎文区,1515.69亿,91.78亿,43822,2007-04-30,--,,汽车零部件,--,研究、生产及销售发动机及其零部件、重型汽车、重型汽车车桥、变速箱及其他汽车零部件等业务
76,400,许继电气,许继电气股份有限公司,许昌市,魏都区,103.29亿,6.82亿,5383,1997-04-18,--,,电气自控设备,--,从事电力系统二次设备和一次设备的研制、销售
77,401,冀东水泥,唐山冀东水泥股份有限公司,唐山市,丰润区,251.68亿,9.40亿,24153,1996-06-14,--,,水泥,--,生产和销售水泥、熟料以及石灰石开采和销售
78,402,金融街,金融街控股股份有限公司,北京市,西城区,255.19亿,41.03亿,3867,1996-06-26,--,,房地产开发,--,房地产开发和经营
79,403,双林生物,南方双林生物制药股份有限公司,太原市,小店区,6.85亿,1524.47万,875,1996-06-28,--,,生物医药,--,生产和销售血液制品
80,404,长虹华意,长虹华意压缩机股份有限公司,景德镇市,昌江区,81.14亿,2.12亿,7802,1996-06-19,--,,压缩机,--,从事无氟压缩机的生产与销售业务。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
81,407,胜利股份,山东胜利股份有限公司,济南市,历下区,38.28亿,1.23亿,2121,1996-07-03,--,,燃气,--,天然气、生物、农化、塑胶等产业组成
82,408,*ST藏格,藏格控股股份有限公司,海西蒙古族藏族自治州,格尔木市,31.73亿,12.17亿,1707,1996-06-28,--,,钾肥,--,钾肥(氯化钾)的生产和销售。
83,409,ST地矿,山东地矿股份有限公司,济南市,历城区,14.30亿,-2.71亿,1450,1996-06-27,--,,综合,--,矿业开发、医药制造、特种轮胎制造、贸易和房地产开发
84,410,*ST沈机,沈阳机床股份有限公司,沈阳市,于洪区,41.89亿,1.08亿,7965,1996-07-18,--,,机床设备,--,金属切削机床制造
85,411,英特集团,浙江英特集团股份有限公司,杭州市,下城区,189.07亿,1.91亿,--,1996-07-16,--,,医药商业,--,主要从事药品及医疗器械批发业务
86,413,东旭光电,东旭光电科技股份有限公司,石家庄市,石家庄市,172.77亿,19.21亿,4986,1996-09-25,--,,显示器件,--,电真空玻璃器件及其配套电子元器件的生产与销售和平板显示玻璃基板及其装备的研发、生产与销售等
87,415,渤海租赁,渤海租赁股份有限公司,乌鲁木齐市,沙依巴克区,359.34亿,31.56亿,652,1996-07-16,--,,其他非银行金融,--,从事飞机租赁业务，集装箱租赁业务及境内基础设施，高端设备，商业物业，新能源等租赁业务。
88,416,民生控股,民生控股股份有限公司,青岛市,崂山区,7141.84万,2976.15万,50,1996-07-19,--,,其他非银行金融,--,典当业务及保险经纪业务
89,417,合肥百货,合肥百货大楼集团股份有限公司,合肥市,庐阳区,103.90亿,2.96亿,9561,1996-08-12,--,,百货,--,百货零售业、农产品交易市场两大类业务
90,418,小天鹅A,无锡小天鹅股份有限公司,无锡市,无锡市,213.85亿,17.08亿,11459,1997-03-28,--,,洗衣机,主营业务:家用洗衣机的研发、生产和销售,家用洗衣机的研发、生产和销售
91,419,通程控股,长沙通程控股股份有限公司,长沙市,雨花区,40.45亿,1.48亿,2807,1996-08-16,--,,百货,--,商业零售业、典当业及旅游酒店业
92,420,吉林化纤,吉林化纤股份有限公司,吉林市,昌邑区,21.98亿,8542.14万,5520,1996-08-02,--,,粘胶纤维,--,从事粘胶纤维的生产和销售，从事醋酐的生产和研发。
93,421,南京公用,南京公用发展股份有限公司,南京市,建邺区,36.09亿,2.49亿,3412,1996-08-06,--,,燃气,--,客运业务、燃气业务及房地产业务
94,422,ST宜化,湖北宜化化工股份有限公司,宜昌市,猇亭区,119.55亿,-51.47亿,8401,1996-08-15,--,,氮肥,--,化肥产品(尿素、磷酸二铵等)、化工产品(聚氯乙烯、烧碱等)的生产、销售。
95,423,东阿阿胶,东阿阿胶股份有限公司,聊城市,东阿县,73.72亿,20.44亿,4952,1996-07-29,--,,中药生产,--,从事阿胶及阿胶系列产品的研发、生产和销售业务
96,425,徐工机械,徐工集团工程机械股份有限公司,徐州市,鼓楼区,291.31亿,10.29亿,14449,1996-08-28,--,,工程机械,--,主要从事工程起重机械、铲运机械、压实机械、混凝土机械、路面机械、消防机械、其他工程机械及工程机械备件的研发、制造和销售。
97,426,兴业矿业,内蒙古兴业矿业股份有限公司,赤峰市,松山区,21.11亿,5.54亿,332,1996-08-28,--,,铅锌,--,有色金属采选及冶炼
98,428,华天酒店,华天酒店集团股份有限公司,长沙市,芙蓉区,10.63亿,-7069.54万,4450,1996-08-08,--,,酒店,--,住宿、餐饮。
99,429,粤高速A,广东省高速公路发展股份有限公司,广州市,越秀区,30.89亿,17.10亿,2154,1998-02-20,--,,高速公路,--,收费高速公路、桥梁的投资、建设、收费和养护管理。
100,430,张家界,张家界旅游集团股份有限公司,张家界市,永定区,5.50亿,6602.45万,1118,1996-08-29,--,,景区,--,旅游项目经营；旅游客运；旅行社经营；其他：酒店经营、房屋租赁、广告代理等
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
101,488,晨鸣纸业,山东晨鸣纸业集团股份有限公司,潍坊市,寿光市,294.72亿,37.59亿,12649,2000-11-20,--,,造纸,--,机制纸及板纸和造纸原料、造纸机械、电力、热力的生产与销售
102,498,山东路桥,山东高速路桥集团股份有限公司,济南市,市中区,123.85亿,5.78亿,10394,1997-06-09,--,,路桥建设,--,路桥工程施工与养护施工
103,501,鄂武商A,武汉武商集团股份有限公司,武汉市,江汉区,181.22亿,12.41亿,9376,1992-11-20,--,,百货,--,商业零售及批发业务
104,502,绿景控股,绿景控股股份有限公司,广州市,海珠区,2206.13万,-8477.38万,133,1992-11-23,--,,房地产开发,--,从事房地产开发及物业管理业务
105,503,国新健康,国新健康保障服务集团股份有限公司,海口市,龙华区,1.84亿,-29.97万,1157,1992-11-30,--,,电子商务B2B,--,医药电子商务、医疗福利管理等
106,504,ST生物,南华生物医药股份有限公司,长沙市,天心区,6739.30万,-3624.92万,351,1992-12-08,--,,节能环保,--,生物医药、节能环保
107,505,京粮控股,海南京粮控股股份有限公司,海口市,龙华区,79.18亿,2.09亿,2971,1992-12-21,--,,房地产开发,--,植物油加工及食品制造。
108,506,中润资源,中润资源投资股份有限公司,济南市,历下区,7.69亿,-4.75亿,1500,1993-03-12,--,,黄金,--,矿业投资与房地产开发
109,507,珠海港,珠海港股份有限公司,珠海市,珠海市,19.60亿,1.66亿,2420,1993-03-26,--,,港口,--,港口及其配套设施的项目投资；电力项目投资；玻璃纤维制品项目投资；饮料项目投资；化工原料及化工产品项目投资。
